============================================================
HW2: LLM Inference Optimization
Model: Tiny random Llama (2 layers, d_model=2048)
============================================================

--- Part 1: Slow baseline ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
triton_red_fused__to_copy_add_embedding_mean_mul_pow...         0.00%       0.000us         0.00%       0.000us       0.000us      91.106us         0.77%      91.106us       2.531us           0 B           0 B           0 B           0 B            36  
triton_red_fused__to_copy__unsafe_view_add_mean_mul_...         0.46%     372.421us         0.66%     530.032us      16.062us      68.864us         0.58%      68.864us       2.087us           0 B           0 B           0 B           0 B            33  
triton_red_fused__to_copy__unsafe_view_add_mean_mul_...         0.00%       0.000us         0.00%       0.000us       0.000us      68.864us         0.58%      68.864us       2.087us           0 B           0 B           0 B           0 B            33  
               triton_poi_fused__unsafe_view_mul_silu_6         0.08%      60.822us         0.12%      98.420us      16.403us      62.080us         0.52%      62.080us      10.347us           0 B           0 B           0 B           0 B             6  
               triton_poi_fused__unsafe_view_mul_silu_6         0.00%       0.000us         0.00%       0.000us       0.000us      62.080us         0.52%      62.080us      10.347us           0 B           0 B           0 B           0 B             6  
triton_poi_fused_add_arange_constant_pad_nd_expand_l...         0.52%     423.691us         0.85%     691.325us      10.973us      59.133us         0.50%      59.133us       0.939us           0 B           0 B           0 B           0 B            63  
triton_poi_fused_add_arange_constant_pad_nd_expand_l...         0.00%       0.000us         0.00%       0.000us       0.000us      59.133us         0.50%      59.133us       0.939us           0 B           0 B           0 B           0 B            63  
                                            aten::copy_         0.35%     280.735us         1.01%     813.241us      20.852us      47.876us         0.40%      47.876us       1.228us           0 B           0 B           0 B           0 B            39  
                  triton_poi_fused__to_copy_unsqueeze_1         0.44%     357.132us         0.66%     530.721us      14.742us      43.487us         0.37%      43.487us       1.208us           0 B           0 B           0 B           0 B            36  
                  triton_poi_fused__to_copy_unsqueeze_1         0.00%       0.000us         0.00%       0.000us       0.000us      43.487us         0.37%      43.487us       1.208us           0 B           0 B           0 B           0 B            36  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      43.108us         0.36%      43.108us       1.197us           0 B           0 B           0 B           0 B            36  
triton_red_fused__to_copy__unsafe_view_add_mean_mul_...         0.08%      67.438us         0.11%      92.338us      15.390us      33.853us         0.29%      33.853us       5.642us           0 B           0 B           0 B           0 B             6  
triton_red_fused__to_copy__unsafe_view_add_mean_mul_...         0.00%       0.000us         0.00%       0.000us       0.000us      33.853us         0.29%      33.853us       5.642us           0 B           0 B           0 B           0 B             6  
